,date,country,confirmed
815,2020-01-25,中国,7
816,2020-01-25,中国,2
817,2020-01-25,中国,5
818,2020-01-25,中国,7
819,2020-01-25,中国,2
820,2020-01-25,中国,3
821,2020-01-25,中国,1
822,2020-01-25,中国,1
823,2020-01-25,中国,1
824,2020-01-25,中国,1
825,2020-01-25,中国,1
826,2020-01-25,中国,104
827,2020-01-25,中国,27
828,2020-01-25,中国,13
829,2020-01-25,中国,18
830,2020-01-25,中国,8
831,2020-01-25,中国,1
832,2020-01-25,中国,5
833,2020-01-25,中国,3
834,2020-01-25,中国,3
835,2020-01-25,中国,2
836,2020-01-25,中国,21
837,2020-01-25,中国,3
838,2020-01-25,中国,60
839,2020-01-25,中国,13
840,2020-01-25,中国,3
841,2020-01-25,中国,1
842,2020-01-25,中国,1
843,2020-01-25,中国,7
844,2020-01-25,中国,1
845,2020-01-25,中国,3
846,2020-01-25,中国,5
847,2020-01-25,中国,1
848,2020-01-25,中国,2
849,2020-01-25,中国,10
850,2020-01-25,中国,2
851,2020-01-25,中国,3
852,2020-01-25,中国,6
853,2020-01-25,中国,1
854,2020-01-25,中国,1
855,2020-01-25,中国,18
856,2020-01-25,中国,6
857,2020-01-25,中国,3
858,2020-01-25,中国,1
859,2020-01-25,中国,3
860,2020-01-25,中国,3
861,2020-01-25,中国,2
862,2020-01-25,中国,36
863,2020-01-25,中国,4
864,2020-01-25,中国,1
865,2020-01-25,中国,2
866,2020-01-25,中国,2
867,2020-01-25,中国,1
868,2020-01-25,中国,7
869,2020-01-25,中国,2
870,2020-01-25,中国,5
871,2020-01-25,中国,6
872,2020-01-25,中国,6
873,2020-01-25,中国,39
874,2020-01-25,中国,3
875,2020-01-25,中国,6
876,2020-01-25,中国,1
877,2020-01-25,中国,2
878,2020-01-25,中国,2
879,2020-01-25,中国,4
880,2020-01-25,中国,4
881,2020-01-25,中国,4
882,2020-01-25,中国,7
883,2020-01-25,中国,3
884,2020-01-25,中国,1
885,2020-01-25,中国,1
886,2020-01-25,中国,1
887,2020-01-25,中国,83
888,2020-01-25,中国,20
889,2020-01-25,中国,1
890,2020-01-25,中国,2
891,2020-01-25,中国,3
892,2020-01-25,中国,3
893,2020-01-25,中国,3
894,2020-01-25,中国,2
895,2020-01-25,中国,15
896,2020-01-25,中国,22
897,2020-01-25,中国,5
898,2020-01-25,中国,7
899,2020-01-25,中国,1052
900,2020-01-25,中国,618
901,2020-01-25,中国,31
902,2020-01-25,中国,20
903,2020-01-25,中国,20
904,2020-01-25,中国,2
905,2020-01-25,中国,1
906,2020-01-25,中国,38
907,2020-01-25,中国,55
908,2020-01-25,中国,33
909,2020-01-25,中国,122
910,2020-01-25,中国,43
